"","Dataset","DWC below MRL.2.5%","DWC below MRL.5%","DWC below MRL.25%","DWC below MRL.50%","DWC below MRL.75%","DWC below MRL.95%","DWC below MRL.97.5%"
"1","Lubeck-Bartell-Train","0.0004457550","0.0010602385","0.0046234450","0.0083218550","0.0123210000","0.0150370900","0.0156000300"
"2","Little Hocking-Bartell-Train","0.0003196812","0.0006618772","0.0039737525","0.0080867300","0.0120953250","0.0152625250","0.0155727475"
